Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Platform4,Social_Media_Platform5,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing,Lat,Lon
1005,New York,New York,,,4/10/1993,1,,,2,2,0,3,-88,5,1,10,2,4,4,2,-88,,,-99,-99,,,0,0,2,-99,1,1,1,-88,-99,-88,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,New Jersey,-99,,,0,0,-99,10,5,1,1,0,,,,1,2,1,1,-88,4,25,2,1,-99,2,5,0,-88,0,-88,United States of America,2,Kuwait,84,1,Kuwait,1,0,5,0,-88,1,0,4,0,0,2,3,0,0,0,-88,,,0,0,2,1,2,2,0,0,0,0,3,0,0,0,0,0,4,,,0,0,-88,,,-88,0,-88,0,0,1,2,0,40.6943,-73.9249
1006,New York,New York,,,3/4/1993,1,,,2,2,0,3,-88,5,1,10,2,4,4,2,-88,,,1,3,,,1,0,2,60,1,1,1,-88,-99,-88,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,New Jersey,Jersey City,,,0,0,2,10,5,1,1,-99,,,,1,-99,1,1,-88,4,25,1,0,-88,2,5,0,-88,0,-88,Jordan,5,Palestine; Jordan,60,1,Palestine,1,2,5,0,-88,-99,-99,-99,0,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,2,3,0,0,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99,40.6943,-73.9249
1076,Virginia,Langley,,,1/25/1993,2,,,1,1,0,1,-88,5,1,10,2,2,8,0,-88,,,0,-88,,,0,-88,-88,-88,0,-88,-88,-88,1,-88,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,Virginia,-99,,,-99,1,-99,10,-99,1,0,8,,,,1,1,1,0,-88,4,29,1,0,-88,2,1,0,-88,0,-88,Pakistan,5,Pakistan,24,1,Pakistan,1,-99,9,0,-88,2,-99,3,0,0,-99,2,-99,0,0,-88,,,0,0,0,1,2,2,-99,-99,-99,-99,0,0,0,-99,-99,-99,-99,,,-99,0,-88,,,-88,0,-88,-99,0,1,0,0,48.0337,-122.4084
1118,Minnesota,Minneapolis,,,8/1/2008,4,,,2,2,-99,-99,-99,5,1,10,2,4,4,3,al-Shabaab,,,1,4,,,0,-99,2,12,1,1,1,1,1,1,-99,3,,,,,1,4,,,,,,1,0,0,0,11,,,Minnesota,Minneapolis,,,0,1,2,10,2,0,1,8,,,,1,1,1,1,-88,2,23,2,1,-99,2,1,0,-88,1,1/1/2007,United States of America,2,Somalia,-99,1,Kenya,1,2,4,0,-88,4,-99,1,0,0,2,2,-99,0,0,-88,,,0,0,0,-99,2,1,0,0,0,0,3,0,0,-99,-99,-99,-99,,,0,0,-88,,,-88,0,-88,0,0,0,1,0,44.9635,-93.2678
1124,Minnesota,Minneapolis,Somalia,Mogadishu,11/3/2008,4,,,-99,-99,0,3,-99,5,1,10,2,3,7,3,al-Shabaab,,,0,-88,,,1,-99,2,36,-99,-99,-99,-99,-99,-99,-99,-99,,,,,-99,,,,,,,1,0,0,0,11,,,Minnesota,Minneapolis,Washington,Seattle,1,0,2,10,5,0,1,0,,,,-99,-99,-99,0,-88,2,22,1,0,-88,2,1,0,-88,-99,-99,United States of America,2,Somalia,228,1,Somalia,-99,2,5,1,0,5,1,4,0,0,1,2,2,3,0,-99,,,0,0,-99,0,2,-99,-99,-99,-99,-99,3,0,0,-99,0,0,1,,,0,0,-88,,,-88,0,-88,3,0,0,3,0,44.9635,-93.2678
1127,Illinois,Chicago,,,10/3/2009,10,18,19,2,2,0,3,-99,5,1,10,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,1,,,-99,0,2,108,1,0,-99,-99,1,-99,-99,-99,,,,,-99,,,,,,,1,0,0,0,11,,,Illinois,Chicago,,,1,0,3,10,5,-99,-99,-99,,,,1,1,3,-99,1,6,49,2,4,-99,2,1,0,-88,1,1/1/1999,United States of America,1,United States of America,-99,2,Pakistan,-99,-99,4,0,-88,1,-99,3,0,0,3,2,-99,0,0,-88,,,1,1,1,1,1,2,-99,-99,-99,-99,2,-99,1,1,1,-99,1,,,-99,3,16,19,,2,0,-88,2,0,-99,3,-99,41.8373,-87.6862
1129,Minnesota,Minneapolis,Somalia,Mogadishu,8/7/2010,4,,,2,2,0,3,-99,5,1,10,2,3,7,3,al-Shabaab,,,-99,-99,,,-99,0,3,32,-99,-99,-99,1,-99,1,-99,-99,,,,,-99,,,,,,,1,0,0,0,11,,,Minnesota,Minneapolis,,,0,0,2,10,5,-99,1,0,,,,-99,1,-99,-99,-88,2,33,3,2,6,2,1,0,-88,-99,-99,United States of America,2,Somalia,-99,1,Somalia,-99,2,-99,-99,-99,4,-88,1,-99,-99,-99,2,-99,0,0,-88,,,0,0,-99,1,-99,-99,-99,-99,-99,-99,3,0,0,-99,0,0,-99,,,-99,1,10,,,3,0,-88,-99,0,1,1,-99,44.9635,-93.2678
1160,Texas,Fort Hood,,,11/5/2009,4,,,1,2,0,1,1,5,1,10,2,4,4,0,-88,,,0,-88,,,1,-88,-88,-88,0,-88,-88,1,-99,0,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,Texas,Kileen,Maryland,Bethesda,1,0,3,10,3,0,0,5,,,,1,1,1,-99,-88,4,39,1,0,-88,2,5,0,-88,1,1/1/1998,United States of America,1,United States of America,468,2,Palestine,-88,-88,11,0,-88,1,1,4,5,0,2,2,3,0,1,3,,,1,0,0,-99,1,-99,-99,-99,0,0,0,0,0,1,1,1,-88,,,0,0,-88,,,-88,0,-88,1,0,1,1,0,31.1345,-97.7797
1169,Arkansas,Little Rock,,,6/1/2009,4,15,,1,2,1,2,1,5,1,10,2,4,4,3,al-Qaeda in the Arabian Peninsula (AQAP),,,0,-88,,,1,0,2,-99,0,-88,-88,1,1,-99,-99,-99,,,,,-99,,,,,,,1,0,0,0,11,,,Arkansas,Little Rock,,,1,1,3,10,5,1,0,5,,,,1,1,1,0,2,2,24,3,0,-88,2,6,1,1/1/2004,0,-88,United States of America,1,United States of America,6,0,-88,-88,-88,4,0,-88,5,-88,3,0,0,2,2,0,0,0,-88,,,0,1,0,-88,-99,1,0,0,0,0,1,0,0,0,0,0,-99,,,0,3,9,16,18,1,1,3,0,0,1,1,0,34.7255,-92.358
2011,Massachusetts,Malden,Afghanistan,-99,7/1/2008,4,,,0,1,0,1,0,5,1,10,2,4,4,3,al-Qaeda core,,,-99,-99,,,-99,1,2,-99,0,-88,-88,0,-99,0,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,Massachusetts,Boston,,,0,1,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-88,5,36,2,3,12,1,1,0,-99,0,-99,Pakistan,4,Pakistan,144,1,Pakistan,1,-99,11,-99,-99,-99,-99,-99,0,0,3,3,3,0,2,2,3,,0,0,0,1,2,2,-99,-99,-99,-99,-99,-99,3,1,-99,-99,-99,,,0,0,-88,,,-88,0,-88,-99,0,-99,-99,0,47.2296,-117.4731
